"IP","Categories","ReportDate","Comment"
"92.243.20.88","4,19","2025-01-14T14:02:01+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"103.242.105.140","4,19","2025-01-14T14:02:01+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"103.166.254.218","4,19","2025-01-14T14:02:02+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"128.140.4.172","4,19","2025-01-14T14:02:02+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"210.176.114.164","4,19","2025-01-14T14:02:02+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"103.153.247.220","4,19","2025-01-14T14:02:02+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"77.37.244.119","4,19","2025-01-14T14:03:08+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"103.82.39.237","4,19","2025-01-14T14:02:03+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"103.149.194.61","4,19","2025-01-14T14:02:06+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"203.176.129.85","4,19","2025-01-14T14:02:34+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"36.92.44.82","4,19","2025-01-14T14:02:34+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"79.151.26.239","4,19","2025-01-14T14:02:06+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"128.140.113.110","4,19","2025-01-14T14:02:09+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"121.227.44.137","4,19","2025-01-14T14:02:06+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"202.152.24.50","4,19","2025-01-14T14:02:06+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"92.124.99.130","4,19","2025-01-14T14:02:06+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"222.252.194.204","4,19","2025-01-14T14:02:10+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"54.39.150.160","4,19","2025-01-14T14:02:09+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"103.190.171.197","4,19","2025-01-14T14:02:09+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"87.98.151.136","4,19","2025-01-14T14:02:08+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"45.230.48.130","4,19","2025-01-14T14:02:07+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"143.208.84.54","4,19","2025-01-14T14:02:09+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"27.79.140.38","4,19","2025-01-14T14:02:08+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"110.44.115.83","4,19","2025-01-14T14:02:09+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"35.247.176.243","4,19","2025-01-14T14:02:10+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"188.132.221.22","4,19","2025-01-14T14:02:10+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"103.122.67.135","4,19","2025-01-14T14:02:10+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"181.24.17.53","4,19","2025-01-14T14:02:11+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"158.181.204.159","4,19","2025-01-14T14:02:11+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"74.115.1.77","4,19","2025-01-14T14:02:12+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"185.233.184.231","4,19","2025-01-14T14:02:12+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"103.148.45.184","4,19","2025-01-14T14:02:12+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"38.52.221.187","4,19","2025-01-14T14:02:12+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"103.155.197.116","4,19","2025-01-14T14:02:12+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"2600:1f18:140a:6901:7bf:9f73:4935:a9c8","4,19","2025-01-14T14:02:12+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"173.212.244.38","4,19","2025-01-14T14:02:13+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"45.232.76.2","4,19","2025-01-14T14:02:14+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"8.213.151.128","4,19","2025-01-14T14:02:14+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"103.199.117.162","4,19","2025-01-14T14:02:14+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"74.115.1.107","4,19","2025-01-14T14:02:14+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"201.48.174.13","4,19","2025-01-14T14:02:14+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"209.126.1.204","4,19","2025-01-14T14:02:14+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"202.154.18.10","4,19","2025-01-14T14:02:14+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"206.1.82.188","4,19","2025-01-14T14:02:14+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"124.183.25.78","4,19","2025-01-14T14:02:15+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"203.177.237.153","4,19","2025-01-14T14:02:16+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"114.9.27.142","4,19","2025-01-14T14:02:16+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"181.224.173.23","4,19","2025-01-14T14:02:16+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"177.93.16.66","4,19","2025-01-14T14:02:16+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"167.249.29.215","4,19","2025-01-14T14:02:16+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"46.36.201.216","4,19","2025-01-14T14:02:17+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"98.8.35.1","4,19","2025-01-14T14:02:43+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"14.142.36.210","4,19","2025-01-14T14:02:18+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"98.80.80.96","4,19","2025-01-14T14:02:17+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"74.115.1.161","4,19","2025-01-14T14:02:22+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"183.60.253.133","4,19","2025-01-14T14:03:35+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"45.11.96.15","4,19","2025-01-14T14:02:18+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"199.21.172.114","4,19","2025-01-14T14:02:18+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"103.194.174.53","4,19","2025-01-14T14:02:20+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"45.167.88.54","4,19","2025-01-14T14:02:20+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"64.23.151.1","4,19","2025-01-14T14:02:20+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"154.73.28.246","4,19","2025-01-14T14:02:20+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"103.161.30.6","4,19","2025-01-14T14:02:21+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"206.189.96.100","4,19","2025-01-14T14:02:21+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"206.189.41.13","4,19","2025-01-14T14:02:21+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"112.156.129.43","4,19","2025-01-14T14:02:21+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"74.115.1.149","4,19","2025-01-14T14:02:30+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"94.68.245.147","4,19","2025-01-14T14:02:22+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"177.234.227.215","4,19","2025-01-14T14:02:22+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"160.120.22.13","4,19","2025-01-14T14:02:22+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"103.10.231.189","4,19","2025-01-14T14:02:23+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"103.126.86.88","4,19","2025-01-14T14:02:24+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"111.16.50.169","4,19","2025-01-14T14:02:34+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"187.130.102.13","4,19","2025-01-14T14:02:24+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"190.52.97.12","4,19","2025-01-14T14:02:24+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"103.40.122.12","4,19","2025-01-14T14:02:24+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"103.168.254.162","4,19","2025-01-14T14:02:26+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"132.248.169.96","4,19","2025-01-14T14:02:30+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
"2a01:4f8:1c17:797f::1","4,19","2025-01-14T14:02:25+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"43.153.194.247","4,19","2025-01-14T14:02:27+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"103.215.187.66","4,19","2025-01-14T14:02:26+01:00","DDoS Attack (630.00 rps): HTTP requests with unusual HTTP headers or URI path (signature #57). UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
